string_protein_id	preferred_name	protein_size	annotation
6183.Smp_001210.1	Smp_001210	777	Putative myosin ; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family
6183.Smp_001280.1	Smp_001280	75	Uncharacterized protein
6183.Smp_001330.1	Smp_001330	131	Delta-like protein; Putative Notch ligand involved in the mediation of Notch signaling
6183.Smp_001360.1	Smp_001360	222	Thymidylate kinase 
6183.Smp_001390.1	Smp_001390	1292	Uncharacterized protein
6183.Smp_001410.1	Smp_001410.1	294	annotation not available
6183.Smp_001420.1	Smp_185610	294	Gh regulated tbc protein-1, putative 
6183.Smp_001430.1	Smp_001430	176	Ubiquinone biosynthesis protein, putative 
6183.Smp_001500.1	Smp_001500	203	Putative eukaryotic translation initiation factor 4e 
6183.Smp_001520.1	Smp_001520	104	Uncharacterized protein
6183.Smp_001530.1	Smp_001530	833	Uncharacterized protein
6183.Smp_001560.1	Smp_001560	576	Uncharacterized protein
6183.Smp_001590.1	Smp_001590.1	239	Uncharacterized protein
6183.Smp_001610.1	Smp_001610	277	Uncharacterized protein
6183.Smp_001640.1	Smp_001640	124	V-type proton ATPase subunit G; Catalytic subunit of the peripheral V1 complex of vacuolar ATPase (V-ATPase). V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
6183.Smp_001780.1	Smp_001780	533	Uncharacterized protein
6183.Smp_001830.1	Smp_001830.1	157	Putative 60s ribosomal protein L24 
6183.Smp_001890.1	SmVAL18	194	Venom allergen-like (VAL) 18 protein 
6183.Smp_001900.1	Smp_001900	1064	Septate junction protein 
6183.Smp_001940.1	Smp_001940	306	Uncharacterized protein
6183.Smp_001950.1	Smp_001950	221	Uncharacterized protein
6183.Smp_001960.1	Smp_001960	369	Putative 50s ribosomal protein L1 
6183.Smp_001980.1	Smp_001980	160	Putative homeobox protein 
6183.Smp_002010.1	Smp_002010	233	Putative nep1 
6183.Smp_002060.1	SmVAL10	108	Belongs to the CRISP family. 
6183.Smp_002070.1	SmVAL4	181	Venom allergen-like (VAL) 4 protein; Venom allergen-like protein 4 ; Belongs to the CRISP family
6183.Smp_002080.1	Smp_002080	330	S-adenosylmethionine synthase; Catalyzes the formation of S-adenosylmethionine from methionine and ATP
6183.Smp_002100.1	Smp_002100	165	Vesicle transport protein; May be involved in fusion of retrograde transport vesicles derived from an endocytic compartment with the Golgi complex
6183.Smp_002150.1	Smp_002150	501	Subfamily S1A unassigned peptidase (S01 family) ; Belongs to the peptidase S1 family
6183.Smp_002160.1	Smp_002160	678	Uncharacterized protein
6183.Smp_002180.1	Smp_002180.1	155	Putative transcription factor btf3 ; Belongs to the NAC-beta family
6183.Smp_002190.1	Smp_002190	208	Putative pre-mRNA cleavage factor im, 25kD subunit 
6183.Smp_002230.1	Smp_002230	602	Uncharacterized protein
6183.Smp_002280.1	Smp_002280	942	Kinesin-like protein; Putative kif-2 ; Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
6183.Smp_002350.1	Smp_002350	985	Asparagine-rich protein, putative 
6183.Smp_002380.1	Smp_002380	274	Uncharacterized protein
6183.Smp_002390.1	Smp_002390	101	Uncharacterized protein
6183.Smp_002410.1	Smp_002410	249	14-3-3 epsilon 2 ; Belongs to the 14-3-3 family
6183.Smp_002470.1	Smp_002470	104	Uncharacterized protein
6183.Smp_002500.1	Smp_002500	102	Uncharacterized protein
6183.Smp_002510.1	Smp_002510	356	The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO2. 
6183.Smp_002550.1	Smp_002550.1	177	RNA-binding protein 8A; Core component of the splicing-dependent multiprotein exon junction complex (EJC) deposited at splice junctions on mRNAs
6183.Smp_002600.1	Smp_002600.1	498	Lysosomal Pro-Xaa carboxypeptidase (S28 family) 
6183.Smp_002630.1	SmVAL2	229	Venom allergen-like (VAL) 2 protein; Venom allergen-like protein 2 
6183.Smp_002640.1	Smp_002640	842	Homeobox protein SMOX-1 
6183.Smp_002740.2	Smp_002740.2	189	DIF_7 
6183.Smp_002810.1	Smp_002810	351	Fidgetin like-1 
6183.Smp_002820.3	Smp_002820.3	699	Uncharacterized protein
6183.Smp_002840.1	Smp_002840	623	Uncharacterized protein
6183.Smp_002860.1	Smp_002860	154	Uncharacterized protein
6183.Smp_002870.1	Smp_002870	344	Uncharacterized protein
6183.Smp_002880.1	Smp_002880.1	547	ATP synthase subunit alpha; Produces ATP from ADP in the presence of a proton gradient across the membrane
6183.Smp_002920.1	Smp_002920.1	277	Uncharacterized protein
6183.Smp_002930.1	Smp_002930	125	Belongs to the histone H2A family. 
6183.Smp_002950.1	Smp_002950	48	Putative 13 kDa deflagellation-inducible protein 
6183.Smp_002960.1	Smp_002960	292	Putative pelota 
6183.Smp_003000.1	Smp_003000	425	Putative cell division protein kinase 9-B   (Cyclin-dependent kinase 9-B) ; Belongs to the protein kinase superfamily
6183.Smp_003110.1	Smp_003110.1	269	Nadrin-like protein 
6183.Smp_003130.1	Smp_003130	246	Putative udp-glucose pyrophosphatase 
6183.Smp_003140.1	Smp_003140.1	373	Putative sorting nexin 
6183.Smp_003190.1	Smp_003190	227	26S proteasome subunit P28-related 
6183.Smp_003230.1	Smp_003230	248	Sh3 domain grb2-like protein B1 (Endophilin B1) 
6183.Smp_003250.1	Smp_003250	135	Uncharacterized protein
6183.Smp_003270.1	Smp_003270	457	Uncharacterized protein
6183.Smp_003280.1	Smp_123890	1008	Uncharacterized protein
6183.Smp_003300.1	Smp_003300	388	Putative serpin ; Belongs to the serpin family
6183.Smp_003330.1	Smp_003330	113	Putative 13 kDa deflagellation-inducible protein 
6183.Smp_003340.1	Smp_003340	1085	Uncharacterized protein
6183.Smp_003410.1	Smp_003410	197	Putative 60s ribosomal protein L23a 
6183.Smp_003440.1	Smp_003440	560	Putative spfh domain / Band 7 family protein 
6183.Smp_003600.1	Smp_003600	156	Uncharacterized protein
6183.Smp_003610.2	Smp_003610.2	156	Uncharacterized protein
6183.Smp_003620.1	Smp_003620	505	Putative septin ; Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin- like GTPase superfamily. Septin GTPase family
6183.Smp_003630.1	Smp_003630	512	Putative splicing factor 3a 
6183.Smp_003660.1	Smp_003660	426	Putative dead box ATP-dependent RNA helicase 
6183.Smp_003670.1	Smp_003670	260	Uncharacterized protein
6183.Smp_003700.1	Smp_003700	168	Uncharacterized protein
6183.Smp_003710.1	Smp_003710	357	Putative tropomodulin 
6183.Smp_003760.1	Smp_003760	191	Uncharacterized protein
6183.Smp_003770.1	Smp_003770	193	Putative histone h1/h5 
6183.Smp_003790.1	Smp_003790	276	Uncharacterized protein
6183.Smp_003860.1	Smp_003860	157	Uncharacterized protein
6183.Smp_003900.1	Smp_003900	1189	Putative t-box transcription factor tbx20 
6183.Smp_003930.1	Smp_003930	550	Uncharacterized protein
6183.Smp_003940.1	Smp_003940	318	Uncharacterized protein
6183.Smp_003970.1	Smp_003970	239	Putative elongation factor-1 beta,delta 
6183.Smp_003980.1	Smp_003980	717	Family C2 unassigned peptidase (C02 family) ; Belongs to the peptidase C2 family
6183.Smp_003990.1	Smp_003990	253	Triosephosphate isomerase; Antigen to the host M.1 monoclonal antibody; Belongs to the triosephosphate isomerase family
6183.Smp_004000.1	Smp_004000	147	Uncharacterized protein
6183.Smp_004020.1	Smp_004020	1386	Putative chromosome transmission fidelity factor 
6183.Smp_004040.1	Smp_004040	416	Transcriptional adaptor 2 (Ada2)-related 
6183.Smp_004060.1	Smp_004060	468	Putative cell division cycle 20 (Cdc20) (Fizzy) 
6183.Smp_004070.1	Smp_004070	241	Carbonic anhydrase; Reversible hydration of carbon dioxide
6183.Smp_004080.1	Smp_004080	314	Putative mitochondrial 2-oxoglutarate/malate carrier protein ; Belongs to the mitochondrial carrier (TC 2.A.29) family
6183.Smp_004090.1	Smp_188740	278	Uncharacterized protein
6183.Smp_004120.1	Smp_004120	600	AMP deaminase, putative 
6183.Smp_004160.1	Smp_004160	154	Uncharacterized protein
6183.Smp_004170.1	Smp_004170	272	Uncharacterized protein
6183.Smp_004190.1	Smp_004190	647	Putative cationic amino acid transporter 
6183.Smp_004200.1	Smp_004200.1	253	Uncharacterized protein
6183.Smp_004220.1	Smp_004220	614	Putative amidase 
6183.Smp_004230.1	Smp_004230.1	105	Putative uncharacterized protein
6183.Smp_004260.1	Smp_004260	187	Uncharacterized protein
6183.Smp_004280.1	Smp_004280	156	Uncharacterized protein
6183.Smp_004310.1	Smp_004310	153	V-type proton ATPase proteolipid subunit; Proton-conducting pore forming subunit of the membrane integral V0 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells
6183.Smp_004350.1	Smp_004350	156	Ubiquitin-conjugating enzyme E2 l, putative ; Belongs to the ubiquitin-conjugating enzyme family
6183.Smp_004360.1	Smp_004360.1	219	Uncharacterized protein
6183.Smp_004420.1	Smp_004420.1	261	Uncharacterized protein
6183.Smp_004440.1	Smp_004440	213	Uncharacterized protein
6183.Smp_004470.1	Peroxiredoxin	219	Peroxiredoxin, Prx3 
6183.Smp_004480.1	Smp_004480	588	Red protein (Ik factor) (Cytokine ik), putative 
6183.Smp_004510.1	Smp_004510	155	Uncharacterized protein
6183.Smp_004530.1	Smp_004530.1	105	Uncharacterized protein
6183.Smp_004540.1	Smp_004540.1	90	Uncharacterized protein
6183.Smp_004550.1	Smp_004550.1	148	Uncharacterized protein
6183.Smp_004590.1	Smp_004590	679	Uncharacterized protein
6183.Smp_004600.1	Smp_004600	538	T-complex protein 1 subunit delta; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis
6183.Smp_004630.1	Smp_004630	315	Putative sugar transporter 
6183.Smp_004640.1	Smp_004640	490	Putative dna-directed RNA polymerase I 
6183.Smp_004680.1	Smp_004680	417	Interferon-related developmental regulator-related 
6183.Smp_004690.1	Smp_004690	278	Uncharacterized protein
6183.Smp_004710.1	Smp_004710	127	Uncharacterized protein
6183.Smp_004730.1	Smp_004730	1347	Voltage-dependent L-type calcium channel subunit alpha; Voltage-sensitive calcium channels (VSCC) mediate the entry of calcium ions into excitable cells and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, gene expression, cell motility, cell division and cell death. The isoform alpha-1C gives rise to L-type calcium currents. Long-lasting (L-type) calcium channels belong to the 'high-voltage activated' (HVA) group. They are blocked by dihydropyridines (DHP), phenylalkylamines, benzothiazepines, and by omeg [...] 
6183.Smp_004780.1	Smp_004780.1	430	Peptidylprolyl isomerase; Putative immunophilin 
6183.Smp_004790.1	Smp_004790	55	Uncharacterized protein
6183.Smp_004810.3	Smp_004810.3	303	Belongs to the PPP phosphatase family. 
6183.Smp_004820.1	Smp_004820	78	Uncharacterized protein
6183.Smp_004910.1	Smp_004910	225	Rab-2,4,14, putative 
6183.Smp_004940.1	Smp_004940	125	Putative 60s ribosomal protein L35 
6183.Smp_004980.1	Smp_004980	163	Putative 50s ribosomal protein L20 
6183.Smp_004990.1	Smp_004990	547	Putative chaperonin containing t-complex protein 1, zeta subunit, tcpz; Molecular chaperone; assists the folding of proteins upon ATP hydrolysis
6183.Smp_005000.1	Smp_005000	253	Uncharacterized protein
6183.Smp_005010.1	Smp_005010	471	Chitobiosyldiphosphodolichol alpha-mannosyltransferase 
6183.Smp_005020.1	Smp_005020	684	Putative cbl 
6183.Smp_005050.1	Smp_005050	130	Oxidoreductase HTATIP2, putative 
6183.Smp_005060.1	Smp_005060.1	146	Uncharacterized protein
6183.Smp_005070.1	Smp_005070.1	198	Putative chaperone protein DNAj 
6183.Smp_005080.1	Smp_005080.1	490	Putative nucleolar protein nol1/nop2 ; Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB/NOP family
6183.Smp_005140.1	Smp_005140	556	Uncharacterized protein
6183.Smp_005160.1	Smp_005160	507	Muscleblind-like protein 
6183.Smp_005170.1	Smp_005170	78	Uncharacterized protein
6183.Smp_005180.1	Smp_005180	517	Uncharacterized protein
6183.Smp_005190.2	Smp_005190.2	569	Putative mitogen-activated protein kinase kinase kinase 3, mapkkk3, mekk3 
6183.Smp_005200.1	Smp_005200	624	Serine/threonine kinase 
6183.Smp_005210.1	SmHDAC1	469	Histone deacetylase ; Belongs to the histone deacetylase family. HD Type 1 subfamily
6183.Smp_005230.2	Smp_005230.2	317	Putative ef hand containing protein 
6183.Smp_005260.1	Smp_005260.1	213	RNA and export factor binding protein, putative 
6183.Smp_005280.1	Smp_005280	596	Ubiquitin-specific peptidase 10 (C19 family) ; Belongs to the peptidase C19 family
6183.Smp_005290.1	Smp_005290	296	Cytochrome C1, putative 
6183.Smp_005320.1	Smp_005320	123	Uncharacterized protein
6183.Smp_005330.1	Smp_005330	589	Methionine-tRNA synthetase, putative ; Belongs to the class-I aminoacyl-tRNA synthetase family
6183.Smp_005350.1	Smp_005350	503	20 kDa calcium-binding protein; Calcium-binding protein
6183.Smp_005360.1	Smp_005360	370	Uncharacterized protein
6183.Smp_005390.2	Smp_005390.2	548	Belongs to the TPP enzyme family. 
6183.Smp_005470.1	Smp_005470	73	Cytoplasmic dynein light chain, putative 
6183.Smp_005500.1	Smp_005500	654	N-acetylgalactosaminyltransferase, putative 
6183.Smp_005520.1	Smp_005520.1	317	Zinc finger protein, putative 
6183.Smp_005540.1	Smp_005540	195	Uncharacterized protein
6183.Smp_005570.1	Smp_005570	869	Uncharacterized protein
6183.Smp_005640.1	Smp_005640	410	Poly(A) polymerase cid (Pap) (Caffein-induced death protein), putative 
6183.Smp_005670.1	Smp_005670	218	Rab11, putative 
6183.Smp_005710.1	Smp_005710.1	356	Putative egg protein CP391S 
6183.Smp_005720.1	Smp_005720	317	Putative aquaporin-3 ; Belongs to the MIP/aquaporin (TC 1.A.8) family
6183.Smp_005740.1	Smp_005740	304	Aquaporin; Putative aquaporin-3 ; Belongs to the MIP/aquaporin (TC 1.A.8) family
6183.Smp_005780.1	Smp_005780	155	Putative sjcwl01.CXW 
6183.Smp_005790.1	Smp_005790	353	Putative gtp-binding protein (Q) alpha-11 subunit, gna11 
6183.Smp_005860.1	Smp_005860.1	437	Uncharacterized protein
6183.Smp_005880.1	Smp_005880	626	Putative phosphoenolpyruvate carboxykinase 
6183.Smp_005900.1	Smp_005900	308	Putative bcl2-associated athanogene 
6183.Smp_005910.1	Smp_005910	205	Uncharacterized protein
6183.Smp_005960.1	Smp_005960	115	Uncharacterized protein
6183.Smp_006000.1	Smp_006000	245	Eukaryotic translation initiation factor 3 subunit I; Component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation
6183.Smp_006040.1	Smp_006040	145	Uncharacterized protein
6183.Smp_006060.1	Smp_006060	380	Uncharacterized protein
6183.Smp_006190.1	Smp_006190	323	Uncharacterized protein; Belongs to the Nudix hydrolase family
6183.Smp_006230.1	Smp_006230	303	Putative membralin 
6183.Smp_006240.1	Smp_006240	70	Uncharacterized protein
6183.Smp_006250.2	Smp_006250.2	811	Putative sex comb on midleg homolog 
6183.Smp_006290.1	Smp_006290	123	Uncharacterized protein
6183.Smp_006300.1	Smp_006300	163	Uncharacterized protein
6183.Smp_006320.1	Smp_006320.1	313	Gap associated protein-related 
6183.Smp_006340.1	Smp_006340	182	ER membrane protein complex subunit 4; Belongs to the EMC4 family
6183.Smp_006350.2	Smp_006350.2	1436	Uncharacterized protein
6183.Smp_006390.1	Smp_006390	101	Cystatin B, putative; Cysteine protease inhibitor 
6183.Smp_006440.1	Smp_006440	710	Heterogeneous nuclear ribonucleoprotein l (Hnrnp l), putative 
6183.Smp_006510.1	Smp_006510.1	263	Cercarial elastase (S01 family) ; Belongs to the peptidase S1 family
6183.Smp_006520.1	Smp_006520	263	Cercarial elastase (S01 family); Elastase 2b ; Belongs to the peptidase S1 family
6183.Smp_006550.1	Smp_006550.1	216	Putative glutaredoxin, grx 
6183.Smp_006560.1	Smp_006560	182	Uncharacterized protein
6183.Smp_006590.1	Smp_006590	488	Uncharacterized protein
6183.Smp_006630.2	Smp_006630.2	1292	Uncharacterized protein
6183.Smp_006680.1	Smp_006680	205	Uncharacterized protein
6183.Smp_006690.1	Smp_006690	289	DNAj-related 
6183.Smp_006700.2	Smp_006700.2	1032	Uncharacterized protein
6183.Smp_006710.1	Smp_006710	260	Endonuclease III homolog; Bifunctional DNA N-glycosylase with associated apurinic/apyrimidinic (AP) lyase function that catalyzes the first step in base excision repair (BER), the primary repair pathway for the repair of oxidative DNA damage. The DNA N-glycosylase activity releases the damaged DNA base from DNA by cleaving the N- glycosidic bond, leaving an AP site. The AP lyase activity cleaves the phosphodiester bond 3' to the AP site by a beta-elimination. Primarily recognizes and repairs oxidative base damage of pyrimidines; Belongs to the Nth/MutY family
6183.Smp_006720.2	Smp_006720.2	101	Putative synaptobrevin 
6183.Smp_006730.1	Smp_006730	263	Fasting-inducible integral membrane protein tm6p1-related 
6183.Smp_006740.1	Smp_006740	870	Putative major vault protein 
6183.Smp_006750.1	Smp_006750	252	Fasting-inducible integral membrane protein tm6p1-related 
6183.Smp_006760.1	Smp_006760	263	Fasting-inducible integral membrane protein tm6p1-related 
6183.Smp_006780.1	Smp_006780	206	Uncharacterized protein
6183.Smp_006810.1	Smp_006810	294	Putative lim-only 
6183.Smp_006830.1	Smp_006830.1	220	Uncharacterized protein
6183.Smp_006840.1	Smp_006840	127	Uncharacterized protein
6183.Smp_006850.1	Smp_006850	156	Putative DNA-directed rna polymerase subunit rpb8 
6183.Smp_006860.1	Smp_006860.1	197	Uncharacterized protein
6183.Smp_006920.1	Smp_006920	481	Tyrosine kinase 
6183.Smp_006930.1	Smp_006930	416	Hexosyltransferase; Beta-1,3 galactosyltransferase 
6183.Smp_006960.1	Smp_006960	103	Uncharacterized protein
6183.Smp_006970.1	Smp_006970	366	Uncharacterized protein
6183.Smp_006980.1	Smp_006980	115	Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene- specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors
6183.Smp_006990.1	Smp_006990	651	Putative translation initiation factor IF-2 
6183.Smp_007000.1	Smp_007000	212	Putative partner of sld5 
6183.Smp_007070.1	Smp_007070	335	Putative g-protein coupled receptor 
6183.Smp_007170.1	Smp_007170	359	Uncharacterized protein
6183.Smp_007180.1	Smp_007180	1137	Sr-related ctd associated factor 
